Value,Age,Overall,Potential,Wage,Special,International Reputation,Weak Foot,Skill Moves,Jersey Number,Feet,Inches,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause
110.5,31,94,94,565,2202,5,4,4,10,5,7,159,882,882,882,922,932,932,932,922,932,932,932,912,842,842,842,912,642,612,612,612,642,592,472,472,472,592,84,95,70,90,86,97,93,94,87,96,91,86,91,95,95,85,68,72,59,94,48,22,94,94,75,96,33,28,26,6,11,15,14,8,226.5
77,33,94,94,405,2228,5,4,5,7,6,2,183,913,913,913,893,903,903,903,893,883,883,883,883,813,813,813,883,653,613,613,613,653,613,533,533,533,613,84,94,89,81,87,88,81,76,77,94,89,91,87,96,70,95,95,88,79,93,63,29,95,82,85,95,28,31,23,7,11,15,14,11,127.1
118.5,26,92,93,290,2143,5,5,5,10,5,9,150,843,843,843,893,893,893,893,893,893,893,893,883,813,813,813,883,653,603,603,603,653,603,473,473,473,603,79,87,62,84,84,96,88,87,78,95,94,90,96,94,84,80,61,81,49,82,56,36,89,87,81,94,27,24,33,9,9,15,15,11,228.1
102,27,91,92,355,2281,4,5,4,7,5,11,154,823,823,823,873,873,873,873,873,883,883,883,883,873,873,873,883,773,773,773,773,773,733,663,663,663,733,93,82,55,92,82,86,85,83,91,91,78,76,79,91,77,91,63,90,75,91,76,61,87,94,79,88,68,58,51,15,13,5,10,13,196.4
93,27,91,91,340,2142,4,4,4,10,5,8,163,833,833,833,893,883,883,883,893,893,893,893,893,823,823,823,893,663,633,633,633,663,603,493,493,493,603,81,84,61,89,80,95,83,79,83,94,94,88,95,90,94,82,56,83,66,80,54,41,87,89,86,91,34,27,22,11,12,6,8,8,172.1
67,32,91,91,420,2280,4,4,4,10,5,8,146,773,773,773,853,843,843,843,853,873,873,873,863,883,883,883,863,823,813,813,813,823,793,713,713,713,793,86,72,55,93,76,90,85,78,88,93,80,72,93,90,94,79,68,89,58,82,62,83,79,92,82,84,60,76,73,13,9,7,14,9,137.4
80,31,91,91,455,2346,5,4,3,9,6,0,190,875,875,875,865,875,875,875,865,855,855,855,845,795,795,795,845,695,685,685,685,695,665,635,635,635,665,77,93,77,82,88,87,86,84,64,90,86,75,82,92,83,86,69,90,83,85,87,41,92,84,85,85,62,45,38,27,25,31,33,37,164
51,32,91,91,380,2201,4,3,3,15,6,0,181,733,733,733,703,713,713,713,703,713,713,713,723,753,753,753,723,813,843,843,843,813,843,873,873,873,843,66,60,91,78,66,63,74,72,77,84,76,75,78,85,66,79,93,84,83,59,88,90,60,63,75,82,87,92,91,11,8,9,7,11,104.6
77,29,90,90,205,2152,4,4,4,9,6,0,176,873,873,873,833,863,863,863,833,833,833,833,813,773,773,773,813,613,623,623,623,613,583,573,573,573,583,62,91,85,83,89,85,77,86,65,89,77,78,78,90,78,88,84,78,84,84,80,39,91,77,88,86,34,42,19,15,6,12,8,10,127.1
76.5,28,90,90,355,2190,4,5,3,8,6,0,168,783,783,783,813,823,823,823,813,843,843,843,823,863,863,863,823,793,823,823,823,793,773,723,723,723,773,88,76,54,92,82,81,86,84,93,90,64,62,70,89,71,87,30,75,73,92,60,82,79,86,73,85,72,79,69,10,11,13,7,10,156.8
