Age,Overall,Potential,Value,Wage,Special,International Reputation,Weak Foot,Skill Moves,Jersey Number,Feet,Inches,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause
31,94,94,111,565,2202,5,4,4,10,5,7,159,882,882,882,922,932,932,932,922,932,932,932,912,842,842,842,912,642,612,612,612,642,592,472,472,472,592,84,95,70,90,86,97,93,94,87,96,91,86,91,95,95,85,68,72,59,94,48,22,94,94,75,96,33,28,26,6,11,15,14,8,227
33,94,94,77,405,2228,5,4,5,7,6,2,183,913,913,913,893,903,903,903,893,883,883,883,883,813,813,813,883,653,613,613,613,653,613,533,533,533,613,84,94,89,81,87,88,81,76,77,94,89,91,87,96,70,95,95,88,79,93,63,29,95,82,85,95,28,31,23,7,11,15,14,11,127
26,92,93,119,290,2143,5,5,5,10,5,9,150,843,843,843,893,893,893,893,893,893,893,893,883,813,813,813,883,653,603,603,603,653,603,473,473,473,603,79,87,62,84,84,96,88,87,78,95,94,90,96,94,84,80,61,81,49,82,56,36,89,87,81,94,27,24,33,9,9,15,15,11,228
27,91,92,102,355,2281,4,5,4,7,5,11,154,823,823,823,873,873,873,873,873,883,883,883,883,873,873,873,883,773,773,773,773,773,733,663,663,663,733,93,82,55,92,82,86,85,83,91,91,78,76,79,91,77,91,63,90,75,91,76,61,87,94,79,88,68,58,51,15,13,5,10,13,196
27,91,91,93,340,2142,4,4,4,10,5,8,163,833,833,833,893,883,883,883,893,893,893,893,893,823,823,823,893,663,633,633,633,663,603,493,493,493,603,81,84,61,89,80,95,83,79,83,94,94,88,95,90,94,82,56,83,66,80,54,41,87,89,86,91,34,27,22,11,12,6,8,8,172
32,91,91,67,420,2280,4,4,4,10,5,8,146,773,773,773,853,843,843,843,853,873,873,873,863,883,883,883,863,823,813,813,813,823,793,713,713,713,793,86,72,55,93,76,90,85,78,88,93,80,72,93,90,94,79,68,89,58,82,62,83,79,92,82,84,60,76,73,13,9,7,14,9,137
31,91,91,80,455,2346,5,4,3,9,6,0,190,875,875,875,865,875,875,875,865,855,855,855,845,795,795,795,845,695,685,685,685,695,665,635,635,635,665,77,93,77,82,88,87,86,84,64,90,86,75,82,92,83,86,69,90,83,85,87,41,92,84,85,85,62,45,38,27,25,31,33,37,164
32,91,91,51,380,2201,4,3,3,15,6,0,181,733,733,733,703,713,713,713,703,713,713,713,723,753,753,753,723,813,843,843,843,813,843,873,873,873,843,66,60,91,78,66,63,74,72,77,84,76,75,78,85,66,79,93,84,83,59,88,90,60,63,75,82,87,92,91,11,8,9,7,11,105
29,90,90,77,205,2152,4,4,4,9,6,0,176,873,873,873,833,863,863,863,833,833,833,833,813,773,773,773,813,613,623,623,623,613,583,573,573,573,583,62,91,85,83,89,85,77,86,65,89,77,78,78,90,78,88,84,78,84,84,80,39,91,77,88,86,34,42,19,15,6,12,8,10,127
28,90,90,77,355,2190,4,5,3,8,6,0,168,783,783,783,813,823,823,823,813,843,843,843,823,863,863,863,823,793,823,823,823,793,773,723,723,723,773,88,76,54,92,82,81,86,84,93,90,64,62,70,89,71,87,30,75,73,92,60,82,79,86,73,85,72,79,69,10,11,13,7,10,157
32,90,90,44,125,1946,3,3,2,10,6,2,172,643,643,643,613,623,623,623,613,623,623,623,633,683,683,683,633,763,813,813,813,763,793,873,873,873,793,55,42,92,79,47,53,49,51,70,76,68,68,58,85,54,67,91,66,88,43,89,88,48,52,50,82,90,89,89,6,8,15,5,15,90
32,90,90,60,285,2115,4,2,4,21,5,8,148,773,773,773,853,843,843,843,853,873,873,873,853,853,853,853,853,693,703,703,703,693,643,573,573,573,643,84,76,54,93,82,89,82,77,87,94,70,64,92,90,90,72,64,78,52,75,57,50,89,92,75,93,59,53,29,6,15,7,6,12,111
27,89,90,63,225,2189,3,3,2,13,5,6,159,723,723,723,773,773,773,773,773,793,793,793,793,823,823,823,793,853,873,873,873,853,843,833,833,833,843,68,65,54,86,56,79,49,49,81,80,82,78,82,93,92,71,77,96,76,69,90,92,71,79,54,85,90,91,85,15,12,10,7,10,121
24,89,94,89,205,2092,3,3,4,21,5,10,165,833,833,833,873,863,863,863,873,873,873,873,863,793,793,793,863,623,583,583,583,623,563,453,453,453,563,82,84,68,87,88,92,88,88,75,92,87,83,91,86,85,82,75,80,65,88,48,32,84,87,86,84,23,20,20,5,4,4,5,8,154
24,89,91,84,205,2165,3,4,3,9,6,2,196,863,863,863,823,843,843,843,823,823,823,823,813,793,793,793,813,653,663,663,663,653,623,603,603,603,623,75,94,85,80,84,80,78,68,82,84,68,72,71,91,71,88,78,89,84,85,76,35,93,80,90,89,56,36,38,8,10,11,14,11,161
27,89,90,78,145,2246,4,3,4,7,5,9,161,863,863,863,873,873,873,873,873,863,863,863,863,803,803,803,863,703,673,673,673,703,673,613,613,613,673,82,90,84,83,87,88,84,78,76,90,88,85,90,90,80,80,90,83,62,82,69,35,91,83,79,87,59,47,48,14,8,14,13,14,166
29,89,89,52,315,2065,4,3,3,5,6,2,168,713,713,713,743,763,763,763,743,793,793,793,763,833,833,833,763,793,863,863,863,793,783,823,823,823,783,62,67,68,89,44,80,66,68,82,88,50,52,66,87,52,61,66,86,77,54,85,87,77,87,60,90,90,86,80,5,8,13,9,13,106
31,89,89,60,200,2161,4,4,3,21,6,1,170,853,853,853,813,833,833,833,813,803,803,803,793,753,753,753,793,673,653,653,653,673,653,633,633,633,653,70,89,89,78,90,80,77,76,52,82,75,76,77,91,59,87,88,92,78,79,84,48,93,77,85,82,52,45,39,12,5,13,13,10,111
30,89,89,65,300,2107,4,4,4,10,5,8,154,863,863,863,863,873,873,873,863,853,853,853,833,763,763,763,833,583,563,563,563,583,533,473,473,473,533,70,93,77,81,85,89,82,73,64,89,88,80,86,90,91,88,81,76,73,83,65,24,92,83,83,90,30,20,12,13,15,6,11,14,119
33,89,89,27,215,1841,4,3,2,3,6,2,187,583,583,583,543,553,553,553,543,543,543,543,563,603,603,603,563,743,763,763,763,743,773,863,863,863,773,58,33,83,59,45,58,60,31,59,57,63,75,54,82,55,78,89,65,89,49,92,88,28,50,50,84,93,93,90,3,3,2,4,3,45
19,88,95,81,100,2118,3,4,5,10,5,10,161,853,853,853,873,873,873,873,873,863,863,863,863,783,783,783,863,663,623,623,623,663,623,543,543,543,623,77,88,77,82,78,90,77,63,73,91,96,96,92,87,83,79,75,83,71,78,62,38,88,82,70,86,34,34,32,13,5,7,11,6,166
26,88,89,70,255,2146,3,3,4,10,5,9,157,833,833,833,873,863,863,863,873,863,863,863,863,803,803,803,863,703,663,663,663,703,663,573,573,573,663,78,90,59,82,73,89,83,60,72,88,94,91,91,91,88,77,68,84,70,83,63,55,90,82,61,91,38,43,41,14,14,9,11,14,137
26,88,90,60,285,2170,3,3,2,14,6,1,185,723,723,723,693,733,733,733,693,743,743,743,713,803,803,803,713,783,853,853,853,783,793,853,853,853,793,52,59,76,85,53,69,59,74,82,78,59,65,62,84,66,86,88,87,89,79,87,87,69,77,66,84,88,90,87,13,14,16,12,12,126
27,88,88,62,165,2017,3,3,4,10,5,4,130,783,783,783,863,853,853,853,863,863,863,863,863,783,783,783,863,633,583,583,583,633,583,443,443,443,583,86,77,56,85,74,90,87,77,78,93,94,86,94,83,93,75,53,75,44,84,34,26,83,87,61,83,51,24,22,8,4,14,9,10,105
26,88,91,74,315,2137,3,3,4,22,5,9,174,763,763,763,843,833,833,833,843,863,863,863,833,833,833,833,833,723,733,733,733,723,683,633,633,633,683,75,79,55,89,65,94,88,76,83,95,75,69,87,77,90,69,64,70,59,87,58,64,78,89,76,86,60,64,51,10,8,12,15,6,156
26,88,91,74,205,2117,3,5,4,10,5,11,168,793,793,793,843,843,843,843,843,863,863,863,853,853,853,853,853,713,713,713,713,713,663,573,573,573,663,88,80,52,91,77,84,86,87,88,91,75,73,79,88,81,84,50,92,58,89,46,56,83,91,67,88,59,57,22,9,14,7,7,6,142
